State,Month,Measure,Units,Value
Andhra Pradesh,01-01-2021,Energy Met,MU,5329
Arunachal Pradesh,01-01-2021,Energy Met,MU,74
Assam,01-01-2021,Energy Met,MU,728
Bihar,01-01-2021,Energy Met,MU,2735
Chandigarh,01-01-2021,Energy Met,MU,124
Chhattisgarh,01-01-2021,Energy Met,MU,2791
DNH & DDU,01-01-2021,Energy Met,MU,815
Delhi,01-01-2021,Energy Met,MU,2262
Goa,01-01-2021,Energy Met,MU,327
Gujarat,01-01-2021,Energy Met,MU,10523
Haryana,01-01-2021,Energy Met,MU,3919
Himachal Pradesh,01-01-2021,Energy Met,MU,1007
Jammu & Kashmir,01-01-2021,Energy Met,MU,1654
Jharkhand,01-01-2021,Energy Met,MU,863
Karnataka,01-01-2021,Energy Met,MU,6451
Kerala,01-01-2021,Energy Met,MU,2178
Madhya Pradesh,01-01-2021,Energy Met,MU,8769
Maharashtra,01-01-2021,Energy Met,MU,14427
Manipur,01-01-2021,Energy Met,MU,103
Meghalaya,01-01-2021,Energy Met,MU,209
Mizoram,01-01-2021,Energy Met,MU,63
Nagaland,01-01-2021,Energy Met,MU,66
Odisha,01-01-2021,Energy Met,MU,2348
Puducherry,01-01-2021,Energy Met,MU,215
Punjab,01-01-2021,Energy Met,MU,3832
Rajasthan,01-01-2021,Energy Met,MU,7790
Sikkim,01-01-2021,Energy Met,MU,57
Tamil Nadu,01-01-2021,Energy Met,MU,7887
Telangana,01-01-2021,Energy Met,MU,6954
Tripura,01-01-2021,Energy Met,MU,169
Uttar Pradesh,01-01-2021,Energy Met,MU,9206
Uttarakhand,01-01-2021,Energy Met,MU,1260
West Bengal,01-01-2021,Energy Met,MU,4056
Andhra Pradesh,01-01-2021,Energy Requirement,MU,5329
Arunachal Pradesh,01-01-2021,Energy Requirement,MU,74
Assam,01-01-2021,Energy Requirement,MU,728
Bihar,01-01-2021,Energy Requirement,MU,2746
Chandigarh,01-01-2021,Energy Requirement,MU,124
Chhattisgarh,01-01-2021,Energy Requirement,MU,2798
DNH & DDU,01-01-2021,Energy Requirement,MU,815
Delhi,01-01-2021,Energy Requirement,MU,2263
Goa,01-01-2021,Energy Requirement,MU,328
Gujarat,01-01-2021,Energy Requirement,MU,10523
Haryana,01-01-2021,Energy Requirement,MU,3921
Himachal Pradesh,01-01-2021,Energy Requirement,MU,1008
Jammu & Kashmir,01-01-2021,Energy Requirement,MU,2035
Jharkhand,01-01-2021,Energy Requirement,MU,906
Karnataka,01-01-2021,Energy Requirement,MU,6451
Kerala,01-01-2021,Energy Requirement,MU,2177
Madhya Pradesh,01-01-2021,Energy Requirement,MU,8769
Maharashtra,01-01-2021,Energy Requirement,MU,14427
Manipur,01-01-2021,Energy Requirement,MU,104
Meghalaya,01-01-2021,Energy Requirement,MU,209
Mizoram,01-01-2021,Energy Requirement,MU,79
Nagaland,01-01-2021,Energy Requirement,MU,66
Odisha,01-01-2021,Energy Requirement,MU,2348
Puducherry,01-01-2021,Energy Requirement,MU,215
Punjab,01-01-2021,Energy Requirement,MU,3835
Rajasthan,01-01-2021,Energy Requirement,MU,7800
Sikkim,01-01-2021,Energy Requirement,MU,57
Tamil Nadu,01-01-2021,Energy Requirement,MU,7886
Telangana,01-01-2021,Energy Requirement,MU,6953
Tripura,01-01-2021,Energy Requirement,MU,169
Uttar Pradesh,01-01-2021,Energy Requirement,MU,9212
Uttarakhand,01-01-2021,Energy Requirement,MU,1263
West Bengal,01-01-2021,Energy Requirement,MU,4056
Andhra Pradesh,01-02-2021,Energy Met,MU,5281
Arunachal Pradesh,01-02-2021,Energy Met,MU,67
Assam,01-02-2021,Energy Met,MU,673
Bihar,01-02-2021,Energy Met,MU,2420
Chandigarh,01-02-2021,Energy Met,MU,95
Chhattisgarh,01-02-2021,Energy Met,MU,2667
DNH & DDU,01-02-2021,Energy Met,MU,759
Delhi,01-02-2021,Energy Met,MU,1788
Goa,01-02-2021,Energy Met,MU,280
Gujarat,01-02-2021,Energy Met,MU,9953
Haryana,01-02-2021,Energy Met,MU,3714
